word1,color1,word2,color2,corr_resp,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_2.started,text_2.stopped,ins_.started,text_4.started,ins_.stopped,text_4.stopped,fixation.started,sti.started,fixation.stopped,sti.stopped,dist.started,dist.stopped,key_resp.started,key_resp.stopped,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
Nila,orange,Blue,yellow,y,0,10,10,7,,,,,,,,,,,,,,,71.30104699999902,71.80122929999925,71.80122929999925,72.80135829999927,72.80135829999927,74.30124980000073,74.30124980000073,,y,1,2.6457143999996333,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Nila,red,Blue,orange,o,0,11,11,5,,,,,,,,,,,,,,,76.96767829999953,77.46809290000056,77.46809290000056,78.46808520000013,78.46808520000013,79.96790859999965,79.96790859999965,,o,1,0.15094039999894449,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Orange,yellow,Kesari,blue,y,0,12,12,10,,,,,,,,,,,,,,,80.1548156000008,80.65140690000044,80.66810669999904,81.6513245999995,81.6513245999995,83.15126260000034,83.15126260000034,,y,1,0.6088951000001543,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,orange,Yellow,blue,b,0,13,13,15,,,,,,,,,,,,,,,83.78437060000033,84.28471239999999,84.28471239999999,85.28477969999949,85.28477969999949,86.78468880000037,86.78468880000037,,b,1,0.5060548999990715,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Orange,yellow,Kesari,blue,y,0,14,14,10,,,,,,,,,,,,,,,87.31828599999972,87.81824039999992,87.81824039999992,88.81815859999915,88.81815859999915,90.31810600000063,90.31810600000063,,y,1,0.5992378999999346,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,red,Nila,yellow,r,0,15,15,6,,,,,,,,,,,,,,,90.93454179999935,91.4350615000003,91.4350615000003,92.43500630000017,92.43500630000017,93.93497089999983,93.93497089999983,,r,1,0.1874921999988146,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,red,Nila,yellow,r,1,0,16,6,,,,,,,,,,,,,,,94.1512602999992,94.65188089999901,94.65188089999901,95.65190409999923,95.65190409999923,97.1517703999998,97.1517703999998,,r,1,0.6517313999993348,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,blue,Orange,orange,o,1,1,17,9,,,,,,,,,,,,,,,97.83462399999917,98.33512689999952,98.33512689999952,99.33496639999976,99.33496639999976,100.83482270000059,100.83482270000059,,o,1,1.0722609999993438,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,red,Nila,yellow,r,1,2,18,6,,,,,,,,,,,,,,,101.93471999999929,102.4349973999997,102.4349973999997,103.4349598000008,103.4349598000008,104.93501689999903,104.93501689999903,,r,1,0.535762599998634,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,red,Laal,orange,r,1,3,19,0,,,,,,,,,,,,,,,105.50152359999993,106.00167069999952,106.00167069999952,107.00174359999983,107.00174359999983,108.50159469999926,108.50159469999926,,r,1,0.7519078999994235,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,red,Pila,yellow,r,1,4,20,12,,,,,,,,,,,,,,,109.28478240000004,109.78523350000069,109.78523350000069,110.78523099999984,110.78523099999984,112.28526050000073,112.28526050000073,,r,1,0.4971109999987675,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,orange,Yellow,blue,b,1,5,21,15,,,,,,,,,,,,,,,112.80254860000059,113.30177689999982,113.30177689999982,114.30178999999953,114.30178999999953,115.80202869999994,115.80202869999994,,b,1,2.268009699999311,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,red,Laal,orange,r,1,6,22,0,,,,,,,,,,,,,,,118.10156690000076,118.60192909999932,118.60192909999932,119.60195899999962,119.60195899999962,121.10210010000083,121.10210010000083,,r,1,0.8758909999996831,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Orange,red,kesari,red,r,1,7,23,8,,,,,,,,,,,,,,,122.0043186999992,122.50237629999901,122.51891219999925,123.50208360000033,123.50208360000033,125.0020057999991,125.0020057999991,,r,1,0.8469070999999531,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,blue,Nila,red,b,1,8,24,4,,,,,,,,,,,,,,,125.86846110000079,126.36869139999908,126.36869139999908,127.36888440000075,127.36888440000075,128.86889089999931,128.86889089999931,,b,1,0.41786119999960647,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,red,Laal,orange,r,1,9,25,0,,,,,,,,,,,,,,,129.31857209999907,129.81885370000055,129.81885370000055,130.81879490000028,130.81879490000028,132.31889600000068,132.31889600000068,,r,1,0.8683877999992546,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Laal,blue,Red,yellow,y,1,10,26,1,,,,,,,,,,,,,,,133.21865509999952,133.7188081000004,133.7188081000004,134.71879850000005,134.71879850000005,136.21891649999998,136.21891649999998,,b,0,1.2265704999990703,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,blue,Yellow,orange,o,1,11,27,13,,,,,,,,,,,,,,,137.46870280000076,137.96893889999956,137.96893889999956,138.96889960000044,138.96889960000044,140.46860539999943,140.46860539999943,,o,1,0.9150580999994418,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Laal,blue,Red,yellow,y,1,12,28,1,,,,,,,,,,,,,,,141.4065111,141.90223479999986,141.91910069999903,142.90230539999902,142.90230539999902,144.40243550000014,144.40243550000014,,y,1,1.0418522999989364,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,red,Pila,yellow,r,1,13,29,12,,,,,,,,,,,,,,,145.46880149999924,145.96903380000003,145.96903380000003,146.9690296000008,146.9690296000008,148.4690499999997,148.4690499999997,,r,1,0.890529799999058,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,blue,Yellow,orange,o,1,14,30,13,,,,,,,,,,,,,,,149.3855051999999,149.88581499999964,149.88581499999964,150.88592830000016,150.88592830000016,152.38574169999993,152.38574169999993,,o,1,1.5245489999997517,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,red,Pila,yellow,r,1,15,31,12,,,,,,,,,,,,,,,153.93564650000008,154.43592759999956,154.43592759999956,155.43589190000057,155.43589190000057,156.93614739999975,156.93614739999975,,r,1,1.4736311999986356,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Nila,orange,Blue,yellow,y,2,0,32,7,,,,,,,,,,,,,,,158.43805219999922,158.93577000000005,158.95257289999972,159.93601470000067,159.93601470000067,161.43588549999913,161.43588549999913,,y,1,2.841571399998429,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,yellow,Pila,blue,y,2,1,33,14,,,,,,,,,,,,,,,164.30229970000073,164.80307150000044,164.80307150000044,165.80273979999947,165.80273979999947,167.3027048999993,167.3027048999993,,y,1,0.41408489999957965,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,red,Pila,yellow,r,2,2,34,12,,,,,,,,,,,,,,,167.73592859999917,168.23633999999947,168.23633999999947,169.23612329999924,169.23612329999924,170.73608500000046,170.73608500000046,173.73634390000007,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Orange,red,kesari,red,r,2,3,35,8,,,,,,,,,,,,,,,173.73634390000007,174.23628619999909,174.23628619999909,175.2362565000003,175.2362565000003,176.7361108999994,176.7361108999994,,r,1,0.6208400999985315,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Nila,red,Blue,orange,o,2,4,36,5,,,,,,,,,,,,,,,177.3859491000003,177.88630919999923,177.88630919999923,178.88636299999962,178.88636299999962,180.38646019999942,180.38646019999942,183.38641850000022,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Orange,yellow,Kesari,blue,y,2,5,37,10,,,,,,,,,,,,,,,183.38641850000022,183.88633819999995,183.88633819999995,184.88633540000046,184.88633540000046,186.3863025999999,186.3863025999999,,y,1,0.40118380000058096,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,blue,Orange,orange,o,2,6,38,9,,,,,,,,,,,,,,,186.81975539999985,187.31936180000048,187.31936180000048,188.30333969999992,188.30333969999992,189.80317309999919,189.80317309999919,,o,1,1.5142927999986568,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,orange,Orange,blue,b,2,7,39,11,,,,,,,,,,,,,,,191.33643510000002,191.83678709999913,191.83678709999913,192.8368771000005,192.8368771000005,194.3368405000001,194.3368405000001,,b,1,2.1256343000004563,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,red,Laal,orange,r,2,8,40,0,,,,,,,,,,,,,,,196.48857529999987,196.98646799999915,197.0031730999999,197.98651339999924,197.98651339999924,199.4864194999991,199.4864194999991,202.4867114000008,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,orange,Laal,red,o,2,9,41,2,,,,,,,,,,,,,,,202.4867114000008,202.9867008000001,202.9867008000001,203.98681439999928,203.98681439999928,205.48653729999933,205.48653729999933,,o,1,0.3984415999984776,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,orange,Laal,red,o,2,10,42,2,,,,,,,,,,,,,,,205.9030545000005,206.40328269999918,206.40328269999918,207.38686179999968,207.38686179999968,208.88690900000074,208.9033727999995,211.9034255000006,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,blue,Orange,orange,o,2,11,43,9,,,,,,,,,,,,,,,211.9034255000006,212.4033541000008,212.4033541000008,213.40349529999912,213.40349529999912,214.90367180000067,214.90367180000067,,o,1,0.4154715999993641,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,orange,Yellow,blue,b,2,12,44,15,,,,,,,,,,,,,,,215.3364913000005,215.8365522999993,215.8365522999993,216.83696480000071,216.83696480000071,218.3369117000002,218.3369117000002,,b,1,0.9799333999999362,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,red,Nila,yellow,r,2,13,45,6,,,,,,,,,,,,,,,219.33667550000064,219.8369545000005,219.8369545000005,220.83703310000055,220.83703310000055,222.33723210000062,222.33723210000062,225.33714370000052,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,blue,Nila,red,b,2,14,46,4,,,,,,,,,,,,,,,225.33714370000052,225.83684539999922,225.83684539999922,226.83706859999984,226.83706859999984,228.3370785999996,228.3370785999996,,b,1,0.42637769999782904,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Nila,orange,Blue,yellow,y,2,15,47,7,,,,,,,,,,,,,,,228.7880057000002,229.28707269999904,229.28707269999904,230.28728129999945,230.28728129999945,231.78712610000002,231.78712610000002,,y,1,0.5198079000001599,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Laal,blue,Red,yellow,y,3,0,48,1,,,,,,,,,,,,,,,232.33703269999933,232.83705120000013,232.83705120000013,233.83720829999947,233.83720829999947,235.33721779999905,235.33721779999905,,y,1,2.322220299998662,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Nila,red,Blue,orange,o,3,1,49,5,,,,,,,,,,,,,,,237.6972910000004,238.18741489999957,238.20410620000075,239.1875170000003,239.1875170000003,240.68740570000045,240.68740570000045,,o,1,0.07640009999886388,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,orange,Orange,blue,b,3,2,50,11,,,,,,,,,,,,,,,240.78926200000024,241.2875385999996,241.30406089999997,242.28731209999933,242.28731209999933,243.78738089999933,243.78738089999933,,b,1,0.13305020000007062,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Orange,red,kesari,red,r,3,3,51,8,,,,,,,,,,,,,,,243.94345989999965,244.43748229999983,244.45397779999985,245.43737259999943,245.43737259999943,246.93745169999966,246.93745169999966,,r,1,1.8760010999994847,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,yellow,Pila,blue,y,3,4,52,14,,,,,,,,,,,,,,,248.83913070000017,249.3377003000005,249.3543862000006,250.33790910000062,250.33790910000062,251.83750250000048,251.83750250000048,,y,1,0.5649862999980542,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,blue,Yellow,orange,o,3,5,53,13,,,,,,,,,,,,,,,252.42469720000008,252.92087299999912,252.9376357000001,253.92086290000043,253.92086290000043,255.42081549999966,255.42081549999966,,o,1,1.8422851999985141,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,blue,Laal,yellow,b,3,6,54,3,,,,,,,,,,,,,,,257.2896961000006,257.787644,257.8042741999998,258.7876230999991,258.7876230999991,260.2876441999997,260.2876441999997,,b,1,2.1246877999983553,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,yellow,Pila,blue,y,3,7,55,14,,,,,,,,,,,,,,,262.43729299999904,262.93782099999953,262.93782099999953,263.9376150999997,263.9376150999997,265.43776029999935,265.43776029999935,,y,1,0.9926954000002297,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,blue,Orange,orange,o,3,8,56,9,,,,,,,,,,,,,,,266.45640119999916,266.9545856000004,266.97100730000057,267.9544513000001,267.9544513000001,269.45452509999996,269.45452509999996,272.4549397999999,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Nila,orange,Blue,yellow,y,3,9,57,7,,,,,,,,,,,,,,,272.4549397999999,272.9548250000007,272.9548250000007,273.95459499999924,273.95459499999924,275.45446810000067,275.45446810000067,,y,1,1.345200299998396,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Nila,red,Blue,orange,o,3,10,58,5,,,,,,,,,,,,,,,276.8210196,277.3211360999994,277.3211360999994,278.3211071000005,278.3211071000005,279.8211233999991,279.8211233999991,,r,0,0.7450659999994969,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,orange,Orange,blue,b,3,11,59,11,,,,,,,,,,,,,,,280.5876078000001,281.08845010000005,281.08845010000005,282.0883040000008,282.0883040000008,283.58829929999956,283.58829929999956,,b,1,0.5098249999991822,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Orange,yellow,Kesari,blue,y,3,12,60,10,,,,,,,,,,,,,,,284.1384913999991,284.6216050999992,284.63840659999914,285.6216024000005,285.6216024000005,287.12173079999957,287.12173079999957,290.1225709999999,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,orange,Yellow,blue,b,3,13,61,15,,,,,,,,,,,,,,,290.1225709999999,290.6214572000008,290.6379443000005,291.6214130999997,291.6214130999997,293.12141150000025,293.12141150000025,,b,1,0.8597716999993281,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,blue,Nila,red,b,3,14,62,4,,,,,,,,,,,,,,,294.0045176000003,294.5045351000008,294.5045351000008,295.5049027999994,295.5049027999994,297.0047309999991,297.0047309999991,,b,1,0.7617927999981475,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,orange,Orange,blue,b,3,15,63,11,,,,,,,,,,,,,,,297.7879092000003,298.2882293999992,298.2882293999992,299.2882676999998,299.2882676999998,300.78832800000055,300.78832800000055,,b,1,0.394487499997922,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,red,Laal,orange,r,,,,,0,0,0,0,,,,,,,,,,,301.2245421000007,301.70491330000004,301.7383248999995,302.70490719999907,302.70490719999907,304.20499159999963,304.20499159999963,,r,1,0.8685888999989402,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Laal,blue,Red,yellow,y,,,,,0,1,1,1,,,,,,,,,,,305.1052842000008,305.60516649999954,305.60516649999954,306.60505679999915,306.60505679999915,308.10549750000064,308.10549750000064,,y,1,0.9222647999995388,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,orange,Laal,red,o,,,,,0,2,2,2,,,,,,,,,,,309.06726349999917,309.55519509999976,309.5715474999997,310.55504610000025,310.55504610000025,312.0551919999998,312.0551919999998,,o,1,1.3407153999978618,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,blue,Laal,yellow,b,,,,,0,3,3,3,,,,,,,,,,,313.4214599000006,313.92191769999954,313.92191769999954,314.92174870000053,314.92174870000053,316.4216847000007,316.4216847000007,,r,0,0.7192098999985319,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,blue,Nila,red,b,,,,,0,4,4,4,,,,,,,,,,,317.1715036000005,317.67184160000033,317.67184160000033,318.67179009999927,318.67179009999927,320.17169230000036,320.17169230000036,,b,1,0.38079539999853296,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Nila,red,Blue,orange,o,,,,,0,5,5,5,,,,,,,,,,,320.57153149999976,321.0719878,321.0719878,322.0720005999992,322.0720005999992,323.5721214999994,323.5721214999994,,o,1,1.0651669999988371,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Blue,red,Nila,yellow,r,,,,,0,6,6,6,,,,,,,,,,,324.6549481999991,325.1552740999996,325.1552740999996,326.15534409999964,326.15534409999964,327.6552293000004,327.6552293000004,,r,1,1.0746278999995411,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Nila,orange,Blue,yellow,y,,,,,0,7,7,7,,,,,,,,,,,328.7551105000002,329.25559880000037,329.25559880000037,330.2552524999992,330.2552524999992,331.7554633,331.7554633,334.7555596000002,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Orange,red,kesari,red,r,,,,,0,8,8,8,,,,,,,,,,,334.7555596000002,335.2553563999991,335.2553563999991,336.25558509999973,336.25558509999973,337.75534309999966,337.75534309999966,,r,1,1.34918529999959,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,blue,Orange,orange,o,,,,,0,9,9,9,,,,,,,,,,,339.1218740000004,339.62221839999984,339.62221839999984,340.6220795999998,340.6220795999998,342.12213429999974,342.12213429999974,,o,1,0.5385554000004049,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Orange,yellow,Kesari,blue,y,,,,,0,10,10,10,,,,,,,,,,,342.68852159999915,343.1889706000002,343.1889706000002,344.1889508000004,344.1889508000004,345.68890029999966,345.68890029999966,,y,1,0.4745359999978973,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Kesari,orange,Orange,blue,b,,,,,0,11,11,11,,,,,,,,,,,346.18867599999976,346.6891496999997,346.6891496999997,347.6891670999994,347.6891670999994,349.1889035999993,349.1889035999993,,b,1,0.2964393000002019,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,red,Pila,yellow,r,,,,,0,12,12,12,,,,,,,,,,,349.50530380000055,350.00568399999975,350.00568399999975,351.00562720000016,351.00562720000016,352.5058750999997,352.4889710999996,,r,1,0.5613017999985459,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,blue,Yellow,orange,o,,,,,0,13,13,13,,,,,,,,,,,353.07681500000035,353.5725247999999,353.58919459999925,354.5724432999996,354.5724432999996,356.07251279999946,356.07251279999946,,o,1,1.6751060999995389,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Yellow,yellow,Pila,blue,y,,,,,0,14,14,14,,,,,,,,,,,357.77625160000025,358.2727071999998,358.28933850000067,359.2725112999997,359.2725112999997,360.7724696999994,360.7724696999994,,y,1,0.6109093999984907,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Pila,orange,Yellow,blue,b,,,,,0,15,15,15,,,,,,,,,,,361.4056352000007,361.9058394999993,361.9058394999993,362.9059175000002,362.9059175000002,364.4060540999999,364.4060540999999,,b,1,1.8420434999989084,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
Red,red,Laal,orange,r,,,,,1,0,16,0,,,,,,,,,,,366.27233630000046,366.77274430000034,366.77274430000034,367.7728363999995,367.7728363999995,369.27269700000033,369.27269700000033,372.27274639999996,None,0,,387752,001,2022-10-09_15h17.46.272,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.01359908139606,
