word1,color1,word2,color2,corr_resp,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_2.started,text_2.stopped,text_4.started,text_4.stopped,fixation.started,sti.started,fixation.stopped,sti.stopped,dist.started,key_resp.started,dist.stopped,key_resp.stopped,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
Kesari,blue,Orange,orange,o,1,9,25,9,,,,,,,,,,,,,167.23372859999654,167.7323209999886,167.74917729999288,168.73006439999153,168.73006439999153,170.22548119998828,170.24217230000068,173.2341424999904,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Kesari,orange,Orange,blue,b,1,10,26,11,,,,,,,,,,,,,173.2341424999904,173.7328712999879,173.74949899999774,174.73019959998783,174.73019959998783,176.22622579999734,176.24266530000023,179.23434189999534,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,red,Nila,yellow,r,1,11,27,6,,,,,,,,,,,,,179.23434189999534,179.7332153999887,179.74962469999446,180.73059599999397,180.73059599999397,182.2263294000004,182.24297049999586,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Kesari,orange,Orange,blue,b,1,12,28,11,,,,,,,,,,,,,185.2349380999949,185.71710489998804,185.75021309999283,186.7310989999969,186.7310989999969,188.22707809999702,188.24356559998705,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,red,Blue,orange,o,1,13,29,5,,,,,,,,,,,,,191.23543119999522,191.71772329999658,191.75061879999703,192.73106009999174,192.73106009999174,194.2272542999999,194.24391459999606,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,red,Pila,yellow,r,1,14,30,12,,,,,,,,,,,,,197.23577579999983,197.71795349998865,197.75114889998804,198.73156749999907,198.73156749999907,200.22762059999513,200.24429319999763,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,blue,Nila,red,b,1,15,31,4,,,,,,,,,,,,,203.23603439998988,203.71825729998818,203.75127149999025,204.73228409999865,204.73228409999865,206.22820699999284,206.2447389000008,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,orange,Laal,red,o,2,0,32,2,,,,,,,,,,,,,209.23631459999888,209.71827459998894,209.75137439998798,210.73250719999487,210.73250719999487,212.2283380000008,212.24508769999375,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,orange,Laal,red,o,2,1,33,2,,,,,,,,,,,,,215.23689559999912,215.71888770000078,215.7521745999984,216.73262979999708,216.73262979999708,218.22828089998802,218.24496989999898,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Laal,blue,Red,yellow,y,2,2,34,1,,,,,,,,,,,,,221.2371787000011,221.71930189999694,221.75240420000046,222.73302709999552,222.73302709999552,224.22899479999614,224.24550949998957,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Pila,blue,Yellow,orange,o,2,3,35,13,,,,,,,,,,,,,227.23764899998787,227.71954639999603,227.75273959999322,228.73364669999864,228.73364669999864,230.22955979999097,230.2460599999904,,y,0,0.6541693000035593,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,orange,Blue,yellow,y,2,4,36,7,,,,,,,,,,,,,230.9134020999918,231.40950859998702,231.42626199999359,232.40683389999322,232.40683389999322,233.90293289998954,233.91956939999363,236.91130059999705,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,blue,Laal,yellow,b,2,5,37,3,,,,,,,,,,,,,236.91130059999705,237.40973719999602,237.4270558999997,238.40734849999717,238.40734849999717,239.90352139998868,239.92008139999234,242.91164879999997,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,red,Laal,orange,r,2,6,38,0,,,,,,,,,,,,,242.91164879999997,243.4103027999954,243.42710149999766,244.40720709999732,244.40720709999732,245.90352319998783,245.92043999998714,248.91185999999288,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Pila,blue,Yellow,orange,o,2,7,39,13,,,,,,,,,,,,,248.91185999999288,249.4104062999977,249.42723979998846,250.40784359999816,250.40784359999816,251.90382619999582,251.92034219999914,254.91210819999105,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,red,kesari,red,r,2,8,40,8,,,,,,,,,,,,,254.91210819999105,255.4114111999952,255.4114111999952,256.4083624999912,256.4083624999912,257.9045646000013,257.92087419999007,,r,1,1.559805899989442,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Pila,orange,Yellow,blue,b,2,9,41,15,,,,,,,,,,,,,259.4827948999882,259.9820638999954,259.99875549999706,260.9796207999898,260.9796207999898,262.47540269998717,262.4919832999876,,b,1,0.21938589999626856,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,red,kesari,red,r,2,10,42,8,,,,,,,,,,,,,262.728303099997,263.22329139999056,263.2400692999945,264.22074989999237,264.22074989999237,265.71613409998827,265.73316969998996,268.7246479999885,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,blue,Laal,yellow,b,2,11,43,3,,,,,,,,,,,,,268.7246479999885,269.2235026999988,269.24019009999756,270.2208321999933,270.2208321999933,271.71653059999517,271.7329666000005,274.7249048999947,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,yellow,Pila,blue,y,2,12,44,14,,,,,,,,,,,,,274.7249048999947,275.224043299997,275.224043299997,276.2210148000013,276.2210148000013,277.7167991999886,277.7335835999984,280.7253592999914,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Kesari,blue,Orange,orange,o,2,13,45,9,,,,,,,,,,,,,280.7253592999914,281.2243338999979,281.24101469999005,282.22119229999953,282.22119229999953,283.71742950000043,283.7340108999924,286.7269296999875,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,yellow,Kesari,blue,y,2,14,46,10,,,,,,,,,,,,,286.7269296999875,287.2246674999915,287.24116089999734,288.2218920999876,288.2218920999876,289.7175847999897,289.73455559999275,,o,0,0.6737874999962514,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,red,Nila,yellow,r,2,15,47,6,,,,,,,,,,,,,290.415562899987,290.91448089999903,290.91448089999903,291.9121668000007,291.9121668000007,293.40759589998925,293.4240384000004,296.41617060000135,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,blue,Nila,red,b,3,0,48,4,,,,,,,,,,,,,296.41617060000135,296.9146544999967,296.93130339999334,297.9119112999906,297.9119112999906,299.4082878999907,299.4249562999903,302.4165127000015,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Laal,blue,Red,yellow,y,3,1,49,1,,,,,,,,,,,,,302.4165127000015,302.9151555999997,302.93184929998824,303.91223059999174,303.91223059999174,305.4083016999939,305.42510019999463,308.4167152999871,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,blue,Nila,red,b,3,2,50,4,,,,,,,,,,,,,308.4167152999871,308.91564899998775,308.9324479999923,309.9128181999986,309.9128181999986,311.408918599991,311.4256442999904,314.4174922999955,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Kesari,blue,Orange,orange,o,3,3,51,9,,,,,,,,,,,,,314.4174922999955,314.9159046999994,314.93253249999543,315.91335569998773,315.91335569998773,317.4088772999967,317.4256900999899,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,yellow,Kesari,blue,y,3,4,52,10,,,,,,,,,,,,,320.4177580999967,320.9163147999934,320.9332340999972,321.9135124999884,321.9135124999884,323.4093717999931,323.4260062999965,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,orange,Blue,yellow,y,3,5,53,7,,,,,,,,,,,,,326.41791509999894,326.91678749999846,326.933045400001,327.91385789999913,327.91385789999913,329.4096887999913,329.4263970999891,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,yellow,Pila,blue,y,3,6,54,14,,,,,,,,,,,,,332.4180779999879,332.90060280000034,332.9173291999905,333.9140824999922,333.9140824999922,335.4106155999907,335.4265657999931,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,blue,Laal,yellow,b,3,7,55,3,,,,,,,,,,,,,338.41881039999134,338.9008379000006,338.934096699988,339.91475479998917,339.91475479998917,341.4105140999891,341.4271640999941,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,red,Laal,orange,r,3,8,56,0,,,,,,,,,,,,,344.4192375999992,344.90124049999577,344.93419109999377,345.91486049999367,345.91486049999367,347.41062019999663,347.4274432999955,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,red,Blue,orange,o,3,9,57,5,,,,,,,,,,,,,350.41913979999663,350.9013750000013,350.93430769999395,351.91543239999737,351.91543239999737,353.4113040999946,353.42762029998994,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,red,kesari,red,r,3,10,58,8,,,,,,,,,,,,,356.4201261999988,356.9017179999937,356.93519439999363,357.91579210000054,357.91579210000054,359.4113800999912,359.42850749999343,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Laal,blue,Red,yellow,y,3,11,59,1,,,,,,,,,,,,,362.4200048999919,362.9024735999992,362.91857359999267,363.915783199991,363.915783199991,365.41191699999035,365.4288421999954,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,red,Laal,orange,r,3,12,60,0,,,,,,,,,,,,,368.4200392999919,368.90251409998746,368.91880559999845,369.8997410999873,369.8997410999873,371.4123006000009,371.4123006000009,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Kesari,orange,Orange,blue,b,3,13,61,11,,,,,,,,,,,,,374.4205973999924,374.9030125999998,374.9194822999998,375.91668929999287,375.91668929999287,377.4124640999944,377.42922089999774,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,red,Nila,yellow,r,3,14,62,6,,,,,,,,,,,,,380.42098409999744,380.9034229999961,380.9197129999957,381.90024529999937,381.90024529999937,383.4130484999914,383.4130484999914,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Laal,blue,Red,yellow,y,3,15,63,1,,,,,,,,,,,,,386.42169869999634,386.9035239999939,386.9366777999967,387.9010472999944,387.9010472999944,389.4133226999984,389.4133226999984,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,red,Laal,orange,r,,,,,0,0,0,0,,,,,,,,,392.4369241999957,392.9038040000014,392.93667689998983,393.9012068000011,393.9012068000011,395.4135658999876,395.4135658999876,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Laal,blue,Red,yellow,y,,,,,0,1,1,1,,,,,,,,,398.4220193999936,398.9045053999871,398.92110809999576,399.9014630999882,399.9014630999882,401.41406409999763,401.41406409999763,,y,1,0.007720499997958541,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,orange,Laal,red,o,,,,,0,2,2,2,,,,,,,,,401.4471521999949,401.94595809999737,401.94595809999737,402.9433710000012,402.9433710000012,404.4391897999885,404.4555716999894,407.44751869999163,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,blue,Laal,yellow,b,,,,,0,3,3,3,,,,,,,,,407.44751869999163,407.94626849998895,407.96260410000104,408.9437387999933,408.9437387999933,410.4396965999913,410.45582289999584,413.44825629999104,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,blue,Nila,red,b,,,,,0,4,4,4,,,,,,,,,413.44825629999104,413.94690029999765,413.96359200000006,414.9440120999934,414.9440120999934,416.4400303000002,416.45644169999287,419.448410099998,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,red,Blue,orange,o,,,,,0,5,5,5,,,,,,,,,419.448410099998,419.94689500000095,419.96337849998963,420.944387999989,420.944387999989,422.4401860999933,422.4567615999986,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Blue,red,Nila,yellow,r,,,,,0,6,6,6,,,,,,,,,425.4516413999954,425.93298539999523,425.96619619999547,426.94690319999063,426.94690319999063,428.4406178999925,428.4572344999906,,r,1,0.3678461000090465,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Nila,orange,Blue,yellow,y,,,,,0,7,7,7,,,,,,,,,428.83921059999557,429.33846410000115,429.3545790999924,430.3353640999994,430.3353640999994,431.8312756999949,431.84782659998746,434.83972959998937,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,red,kesari,red,r,,,,,0,8,8,8,,,,,,,,,434.83972959998937,435.33883299998706,435.3550775999902,436.33620130000054,436.33620130000054,437.8318345000007,437.84831889999623,440.83989779998956,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Kesari,blue,Orange,orange,o,,,,,0,9,9,9,,,,,,,,,440.83989779998956,441.33914929999446,441.3557404999883,442.3361947999947,442.3361947999947,443.83205939999607,443.84845309999946,446.84048229998734,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Orange,yellow,Kesari,blue,y,,,,,0,10,10,10,,,,,,,,,446.84048229998734,447.33901939999487,447.3555827999953,448.33668779999425,448.33668779999425,449.83237689999805,449.8493382000015,452.84084049999365,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Kesari,orange,Orange,blue,b,,,,,0,11,11,11,,,,,,,,,452.84084049999365,453.339358799989,453.3566204999952,454.33694639999885,454.33694639999885,455.83292789998814,455.849369699994,458.84148789999017,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,red,Pila,yellow,r,,,,,0,12,12,12,,,,,,,,,458.84148789999017,459.3401102999924,459.35638969999854,460.337337399993,460.337337399993,461.8334753999952,461.8500437999901,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Pila,blue,Yellow,orange,o,,,,,0,13,13,13,,,,,,,,,464.84173079999164,465.34027319999586,465.3567222999991,466.33786770000006,466.33786770000006,467.83360659999016,467.8497805999941,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Yellow,yellow,Pila,blue,y,,,,,0,14,14,14,,,,,,,,,470.8416509999952,471.32403859999613,471.35707379999803,472.33793069999956,472.33793069999956,473.8338947999873,473.8504083000007,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Pila,orange,Yellow,blue,b,,,,,0,15,15,15,,,,,,,,,476.842253099996,477.3246073999908,477.35748089999834,478.33810639999865,478.33810639999865,479.8344686999917,479.85050169999886,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,red,Laal,orange,r,,,,,1,0,16,0,,,,,,,,,482.84260899999936,483.3251811999944,483.3415798999922,484.3384087999875,484.3384087999875,485.8347891999874,485.85102189998724,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Laal,blue,Red,yellow,y,,,,,1,1,17,1,,,,,,,,,488.8431342999975,489.3251709999895,489.3585721999989,490.3391532999958,490.3391532999958,491.8347635999962,491.8513829000003,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,orange,Laal,red,o,,,,,1,2,18,2,,,,,,,,,494.84329739998793,495.3255921999953,495.3587472999934,496.33939019999525,496.33939019999525,497.8354956999974,497.85186819999944,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
Red,blue,Laal,yellow,b,,,,,1,3,19,3,,,,,,,,,500.84376659999543,501.32592369998747,501.3589949999878,502.33957219999866,502.33957219999866,503.83557019999716,503.8525108999893,,None,0,,829678,001,2022-10-09_14h33.30.867,Stroop Task-Lab in Psychology (Group Project),2022.2.4,60.12607234953491,
